Title,Rating
731. Public Enemies,6.8
732. Underworld: Blood Wars,6.8
733. Judge Dredd,6.8
734. End of Days,6.8
735. Tomorrow Never Dies,6.8
736. The Heat,6.8
737. Argylle,6.8
738. Bronson,6.8
739. Enter the Dragon,6.8
740. In the Heart of the Sea,6.8
741. The 355,6.8
742. Kick-Ass 2,6.8
743. Real Steel,6.8
744. Ghostbusters,6.8
745. On Her Majesty's Secret Service,6.8
746. Ambush,6.8
747. The Outpost,6.8
748. Snow White and the Huntsman,6.8
749. Megamind,6.8
750. The Island,6.8
751. Armed and Dangerous,7.3
752. Munich,7.3
753. The Bourne Legacy,7.3
754. Tank Girl,7.3
755. Goldfinger,7.3
756. Reign of Fire,7.3
757. Logan's Run,7.3
758. Kate,7.3
759. Midway,7.3
760. Enemy at the Gates,7.3
761. PAW Patrol: The Movie,7.3
762. Planet Terror,7.3
763. RocknRolla,7.3
764. The Three Musketeers,7.3
765. The Long Kiss Goodnight,7.3
766. Pineapple Express,7.3
767. 3 Days to Kill,7.3
768. Gunpowder Milkshake,7.3
769. One Day as a Lion,7.3
770. The 5th Wave,7.3
771. White House Down,7.3
772. Chappie,7.3
773. George of the Jungle,7.3
774. Escape Plan,7.3
775. You Don't Mess with the Zohan,7.3
776. Cobra,7.3
777. The Foreigner,7.3
778. The Cannonball Run,7.3
779. Airport '77,7.3
780. Retfærdighedens ryttere,7.3
781. The Perfect Storm,7.3
782. The Tourist,7.3
783. Inferno,7.3
784. The Dark Tower,7.3
785. Layer Cake,7.3
786. The Contractor,7.3
787. The Pacifier,7.3
788. Hunter Killer,7.3
789. Dr. No,7.3
790. Troll,7.3
791. Left Behind,7.3
792. Primal,7.3
793. 47 Ronin,7.3
794. The Mechanic,7.3
795. Crocodile Dundee,7.3
796. Blade: Trinity,7.3
797. Green Lantern,7.3
798. Small Soldiers,7.3
799. The Mask of Zorro,7.3
800. The Adventures of Tintin,7.3
801. Outlaw King,4.2
802. Mighty Morphin Power Rangers: Once & Always,4.2
803. Kung Fu Panda 3,4.2
804. Pain & Gain,4.2
805. One Ranger,4.2
806. Spenser Confidential,4.2
807. Allied,4.2
808. Licence to Kill,4.2
809. Mighty Morphin Power Rangers: The Movie,4.2
810. Ran,4.2
